Id,Title,Category,Interaction,Description,Mitigated requirement,Explanation
132,Replay Attacks,Tampering,Firewall to Workstation,Packets or messages without sequence numbers or timestamps can be captured and replayed...,AVP_PCyA_2116; AVP_PCyA_2362; AVP_PCyA_2544,"TLS 1.2+, certificate validation, and secure session identifiers mitigate replay attacks."
133,Collision Attacks,Tampering,Firewall to Workstation,Attackers who can send a series of packets or messages may be able to overlap data...,AVP_PCyA_2544,Session identifier management ensures data integrity and prevents overlapping packet attacks.
134,Weak Authentication Scheme,Information Disclosure,Firewall to Workstation,Custom authentication schemes are susceptible to common weaknesses...,AVP_PCyA_2090; AVP_PCyA_2531,Strong authentication and password policies mitigate risks from weak or custom schemes.
135,Elevation Using Impersonation,Elevation Of Privilege,Firewall to Workstation,Workstation may be able to impersonate the context of Firewall...,AVP_PCyA_2099; AVP_PCyA_2439,Mutual authentication ensures identity integrity and prevents privilege escalation.
136,Firewall Process Memory Tampered,Tampering,Firewall to Server,If Firewall is given access to memory... then Firewall can tamper with Server...,AVP_PCyA_2134,RBAC and memory access restrictions prevent unauthorized tampering.
137,Replay Attacks,Tampering,Firewall to Server,Packets or messages without sequence numbers or timestamps can be captured and replayed...,AVP_PCyA_2116; AVP_PCyA_2362; AVP_PCyA_2544,"Replay protection via TLS, certificate validation, and session management."
138,Collision Attacks,Tampering,Firewall to Server,Attackers who can send a series of packets or messages may be able to overlap data...,AVP_PCyA_2544,Secure session identifier handling prevents data overlap and tampering.
139,Weak Authentication Scheme,Information Disclosure,Firewall to Server,Custom authentication schemes are susceptible to common weaknesses...,AVP_PCyA_2090; AVP_PCyA_2531,Strong authentication and password policies mitigate risks from weak or custom schemes.
140,Elevation Using Impersonation,Elevation Of Privilege,Firewall to Server,Server may be able to impersonate the context of Firewall...,AVP_PCyA_2099; AVP_PCyA_2439,Mutual authentication ensures identity integrity and prevents privilege escalation.
141,Firewall Process Memory Tampered,Tampering,Firewall to BS (Backup and Restore) Solution,If Firewall is given access to memory... then Firewall can tamper with BS...,AVP_PCyA_2134,RBAC and memory access restrictions prevent unauthorized tampering.
142,Replay Attacks,Tampering,Firewall to BS (Backup and Restore) Solution,Packets or messages without sequence numbers or timestamps can be captured and replayed...,AVP_PCyA_2116; AVP_PCyA_2362; AVP_PCyA_2544,"Replay protection via TLS, certificate validation, and session management."
143,Collision Attacks,Tampering,Firewall to BS (Backup and Restore) Solution,Attackers who can send a series of packets or messages may be able to overlap data...,AVP_PCyA_2544,Session identifier management ensures data integrity and prevents overlapping packet attacks.
144,Weak Authentication Scheme,Information Disclosure,Firewall to BS (Backup and Restore) Solution,Custom authentication schemes are susceptible to common weaknesses...,AVP_PCyA_2090; AVP_PCyA_2531,Strong authentication and password policies mitigate risks from weak or custom schemes.
145,Elevation Using Impersonation,Elevation Of Privilege,Firewall to BS (Backup and Restore) Solution,BS(Backup and Restore) Solution may be able to impersonate the context of Firewall...,AVP_PCyA_2099; AVP_PCyA_2439,Mutual authentication ensures identity integrity and prevents privilege escalation.
146,Firewall Process Memory Tampered,Tampering,Firewall to NTP,If Firewall is given access to memory... then Firewall can tamper with NTP...,AVP_PCyA_2134,RBAC and memory access restrictions prevent unauthorized tampering.
147,Replay Attacks,Tampering,Firewall to NTP,Packets or messages without sequence numbers or timestamps can be captured and replayed...,AVP_PCyA_2116; AVP_PCyA_2362; AVP_PCyA_2544,"Replay protection via TLS, certificate validation, and session management."
148,Collision Attacks,Tampering,Firewall to NTP,Attackers who can send a series of packets or messages may be able to overlap data...,AVP_PCyA_2544,Secure session identifier handling prevents data overlap and tampering.
149,Weak Authentication Scheme,Information Disclosure,Firewall to NTP,Custom authentication schemes are susceptible to common weaknesses...,AVP_PCyA_2090; AVP_PCyA_2531,Strong authentication and password policies mitigate risks from weak or custom schemes.
150,Elevation Using Impersonation,Elevation Of Privilege,Firewall to NTP,NTP may be able to impersonate the context of Firewall...,AVP_PCyA_2099; AVP_PCyA_2439,Mutual authentication ensures identity integrity and prevents privilege escalation.
